RMS,0 Crossings,Peak to Peak,Mean Abs Diff
0.26096439157911766,48,0.8647093346301866,0.12308504774198392
0.42233162779880845,4,0.8363432508307463,0.1283150880986128
0.5908282003743133,0,0.8482970092044454,0.122906447077304
0.798948767636104,0,0.9134684563213984,0.13466130124953202
1.038321693665249,0,0.8846365780173293,0.12399273873156065
1.2810103336256218,0,0.9897008817682953,0.12910844785033537
1.5964570001704614,0,1.0985050535287308,0.13801075160349519
1.9081617196236855,0,1.0327382121581001,0.15262478277236363
2.2440392203085278,0,1.062300813231917,0.15488630423815108
2.5728946928572003,0,0.9765957567944055,0.1408695730502145
2.944418933783608,0,1.0184338706856946,0.13985415835801657
3.3247750162792746,0,1.115395654511373,0.15445465811970227
3.7155335638743483,0,1.1289796488036465,0.155884920623259
4.129756194606842,0,0.9378362527830992,0.14294463670874266
4.56116405559037,0,1.095619923920037,0.1516257866367185
4.914542556166729,0,0.9650296258113151,0.12501811624220954
